Date,Name,Year,Letterboxd URI
2020-04-14,Parasite,2019,https://boxd.it/hTha
2020-04-15,Knives Out,2019,https://boxd.it/jWEA
2020-04-15,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2020-04-18,The Lighthouse,2019,https://boxd.it/icFU
2020-04-18,Uncut Gems,2019,https://boxd.it/gXGc
2020-04-18,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2020-04-18,Marriage Story,2019,https://boxd.it/hJAw
2020-04-18,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2020-04-18,Jojo Rabbit,2019,https://boxd.it/iEBG
2020-04-18,Pulp Fiction,1994,https://boxd.it/29Pq
2020-04-18,1917,2019,https://boxd.it/jj4y
2020-04-18,Inception,2010,https://boxd.it/1skk
2020-04-19,Midsommar,2019,https://boxd.it/jhxe
2020-05-02,The Invisible Man,2020,https://boxd.it/kWlA
2020-05-03,Taxi Driver,1976,https://boxd.it/2b8y
2020-05-03,Sonatine,1993,https://boxd.it/20TI
2020-05-03,Official Secrets,2019,https://boxd.it/dLxm
2020-05-03,The Gentlemen,2019,https://boxd.it/iYBQ
2020-05-03,La Llorona,2019,https://boxd.it/mQqe
2020-05-03,Dark Waters,2019,https://boxd.it/kaYu
2020-05-03,The Farewell,2019,https://boxd.it/kIky
2020-05-04,Adoration,2019,https://boxd.it/hysw
2020-05-04,The Whistlers,2019,https://boxd.it/iefE
2020-05-04,Atlantics,2019,https://boxd.it/hVEK
2020-05-04,Ghost Tropic,2019,https://boxd.it/m0eg
2020-05-04,The Traitor,2019,https://boxd.it/l8d4
2020-05-04,Les Misérables,2019,https://boxd.it/lAPA
2020-05-04,The Irishman,2019,https://boxd.it/dYOq
2020-05-04,Joker,2019,https://boxd.it/h4cS
2020-05-04,Patrick,2019,https://boxd.it/keYS
2020-05-04,"So Long, My Son",2019,https://boxd.it/hNzi
2020-05-04,Deerskin,2019,https://boxd.it/lqOW
2020-05-04,Apollo 11,2019,https://boxd.it/k4r0
2020-05-04,It Must Be Heaven,2019,https://boxd.it/jEVe
2020-05-04,Solaris,1972,https://boxd.it/2a2Y
2020-05-04,Pain and Glory,2019,https://boxd.it/iOBQ
2020-05-04,Escape from New York,1981,https://boxd.it/294k
2020-05-04,Us,2019,https://boxd.it/gnV6
2020-05-04,Freaks,2018,https://boxd.it/jFUm
2020-05-04,Bodies at Rest,2019,https://boxd.it/jke0
2020-05-04,Lost Highway,1997,https://boxd.it/29Wc
2020-05-04,Hellhole,2019,https://boxd.it/iGTW
2020-05-04,Roma,2018,https://boxd.it/f69M
2020-05-05,Mulholland Drive,2001,https://boxd.it/297o
2020-05-06,Fight Club,1999,https://boxd.it/2a9q
2020-05-09,Annihilation,2018,https://boxd.it/9yzm
2020-05-10,Violet,2014,https://boxd.it/7EeU
2020-05-10,Get Out,2017,https://boxd.it/eOCm
2020-05-10,Children of Men,2006,https://boxd.it/1Y2i
2020-05-10,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8
2020-05-10,The Game,1997,https://boxd.it/26vC
2020-05-10,Se7en,1995,https://boxd.it/29zs
2020-05-10,The Social Network,2010,https://boxd.it/17ue
2020-05-11,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2020-05-11,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2020-05-11,Amélie,2001,https://boxd.it/2aUc
2020-05-11,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2020-05-11,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA
2020-05-11,Her,2013,https://boxd.it/4O24
2020-05-11,Gravity,2013,https://boxd.it/GZY
2020-05-11,The Cabin in the Woods,2011,https://boxd.it/1zOc
2020-05-11,Inglourious Basterds,2009,https://boxd.it/1JzG
